,시도코드,시도,시군구코드,시군구, 시점 ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류,위도(x),경도(y),점수매기기
47,46,전라남도,46800, 장흥군,202302,"35,506","2,209","13,102",0.169,5,34.6875,126.9054,94.74535165723526
48,46,전라남도,46890, 완도군,202302,"47,438","2,838","16,574",0.171,5,34.3151,126.7391,94.58367016976557
49,46,전라남도,46810, 강진군,202302,"33,046","2,116","12,303",0.172,5,34.6482,126.7682,94.50282942603073
50,46,전라남도,46900, 진도군,202302,"29,417","1,824","10,581",0.172,5,34.4854,126.2809,94.50282942603073
51,46,전라남도,46820, 해남군,202302,"65,622","4,039","22,944",0.176,5,34.5731,126.5989,94.17946645109137
52,46,전라남도,46880, 장성군,202302,"42,983","2,966","13,903",0.213,4,35.3084,126.7847,91.18835893290218
53,46,전라남도,46710, 담양군,202302,"45,627","3,332","15,116",0.22,4,35.32,126.985,90.62247372675829
54,46,전라남도,46830, 영암군,202302,"52,349","3,774","14,965",0.252,4,34.79,126.7022,88.03556992724334
55,46,전라남도,46870, 영광군,202302,"52,192","4,210","16,067",0.262,4,35.2723,126.507,87.22716248989492
56,46,전라남도,46790, 화순군,202302,"61,892","5,159","17,758",0.291,4,35.0675,126.994,84.88278092158448
57,46,전라남도,46170, 나주시,202302,"116,769","12,232","27,603",0.443,4,35.015,126.7095,72.59498787388844
58,46,전라남도,46130, 여수시,202302,"274,165","26,671","59,098",0.451,4,34.7519,127.7434,71.9482619240097
59,46,전라남도,46840, 무안군,202302,"90,590","9,479","18,516",0.512,3,34.9932,126.4726,67.01697655618432
60,46,전라남도,46110, 목포시,202302,"216,329","22,418","41,100",0.545,3,34.812,126.3917,64.34923201293452
61,46,전라남도,46150, 순천시,202302,"278,578","31,133","48,454",0.643,3,34.9507,127.4889,56.42683912691997
62,46,전라남도,46230, 광양시,202302,"152,144","16,227","22,530",0.72,3,34.9409,127.7164,50.20210185933711
63,28,인천광역시,28710, 강화군,202302,"69,638","4,438","24,910",0.178,5,37.7416,126.5092,94.01778496362168
64,28,인천광역시,28720, 옹진군,202302,"20,527","1,352","6,154",0.22,4,37.4659,37.4659,90.62247372675829
65,28,인천광역시,28140, 동구,202302,"59,297","5,761","14,834",0.388,4,37.4753,126.6369,77.04122877930477
66,28,인천광역시,28177, 미추홀구,202302,"404,692","50,718","76,436",0.664,3,37.4419,126.6883,54.729183508488276
67,28,인천광역시,28200, 남동구,202302,"503,689","61,565","81,089",0.759,3,37.402,126.7337,47.04931285367825
68,28,인천광역시,28237, 부평구,202302,"490,423","64,639","82,626",0.782,3,37.5088,126.7219,45.18997574777688
69,28,인천광역시,28245, 계양구,202302,"287,238","35,602","44,306",0.804,3,37.5393,126.7271,43.41147938561035
70,28,인천광역시,28110, 중구,202302,"153,715","20,369","23,558",0.865,3,37.4643,126.5904,38.48019401778496
71,28,인천광역시,28260, 서구,202302,"596,063","79,035","71,044",1.112,2,37.5461,126.6766,18.51253031527889
72,28,인천광역시,28185, 연수구,202302,"386,506","49,787","44,726",1.113,2,37.4172,126.6788,18.43168957154406
73,31,울산광역시,31110, 중구,202302,"207,368","20,973","37,490",0.559,3,35.5664,129.319,63.21746160064673
74,31,울산광역시,31710, 울주군,202302,"221,147","21,372","38,177",0.56,3,35.5745,129.2165,63.13662085691188
