,__肄__,__,_뎔援ъ_,_뎔援, __ ,珥__援,20-39 ъ_멸뎄,65 댁_ 멸뎄,吏諛⑹_硫몄__,吏諛⑹_硫몄___瑜,__(x),寃쎈_(y),__留ㅺ린湲
52,46,__⑤_,46880, μ_援,202302,"42,983","2,966","13,903",0.213,4,35.3084,126.7847,8.811641067
53,46,__⑤_,46710, 댁_援,202302,"45,627","3,332","15,116",0.22,4,35.32,126.985,9.377526273
54,46,__⑤_,46830, __援,202302,"52,349","3,774","14,965",0.252,4,34.79,126.7022,11.96443007
55,46,__⑤_,46870, __援,202302,"52,192","4,210","16,067",0.262,4,35.2723,126.507,12.77283751
56,46,__⑤_,46790, __援,202302,"61,892","5,159","17,758",0.291,4,35.0675,126.994,15.11721908
57,46,__⑤_,46170, _＜,202302,"116,769","12,232","27,603",0.443,4,35.015,126.7095,27.40501213
58,46,__⑤_,46130, ъ_,202302,"274,165","26,671","59,098",0.451,4,34.7519,127.7434,28.05173808
59,46,__⑤_,46840, 臾댁_援,202302,"90,590","9,479","18,516",0.512,3,34.9932,126.4726,32.98302344
60,46,__⑤_,46110, 紐⑺_,202302,"216,329","22,418","41,100",0.545,3,34.812,126.3917,35.65076799
61,46,__⑤_,46150, __,202302,"278,578","31,133","48,454",0.643,3,34.9507,127.4889,43.57316087
62,46,__⑤_,46230, 愿__,202302,"152,144","16,227","22,530",0.72,3,34.9409,127.7164,49.79789814
63,28,몄_愿__,28710, 媛__援,202302,"69,638","4,438","24,910",0.178,5,37.7416,126.5092,5.982215036
64,28,몄_愿__,28720, 뱀_援,202302,"20,527","1,352","6,154",0.22,4,37.4659,37.4659,9.377526273
65,28,몄_愿__,28140, _뎄,202302,"59,297","5,761","14,834",0.388,4,37.4753,126.6369,22.95877122
66,28,몄_愿__,28177, 誘몄_援,202302,"404,692","50,718","76,436",0.664,3,37.4419,126.6883,45.27081649
67,28,몄_愿__,28200, ⑤_援,202302,"503,689","61,565","81,089",0.759,3,37.402,126.7337,52.95068715
68,28,몄_愿__,28237, 遺_뎄,202302,"490,423","64,639","82,626",0.782,3,37.5088,126.7219,54.81002425
69,28,몄_愿__,28245, 怨__援,202302,"287,238","35,602","44,306",0.804,3,37.5393,126.7271,56.58852061
70,28,몄_愿__,28110, 以_뎄,202302,"153,715","20,369","23,558",0.865,3,37.4643,126.5904,61.51980598
71,28,몄_愿__,28260, _뎄,202302,"596,063","79,035","71,044",1.112,2,37.5461,126.6766,81.48746968
72,28,몄_愿__,28185, 곗_援,202302,"386,506","49,787","44,726",1.113,2,37.4172,126.6788,81.56831043
73,31,몄_愿__,31110, 以_뎄,202302,"207,368","20,973","37,490",0.559,3,35.5664,129.319,36.7825384
74,31,몄_愿__,31710, 몄＜援,202302,"221,147","21,372","38,177",0.56,3,35.5745,129.2165,36.86337914
75,31,몄_愿__,31170, _뎄,202302,"151,185","15,476","23,533",0.658,3,35.5259,129.4216,44.78577203
76,31,몄_愿__,31140, ④뎄,202302,"310,269","36,310","44,864",0.809,3,35.5388,129.316,56.99272433
77,31,몄_愿__,31200, 遺_뎄,202302,"218,696","25,175","21,862",1.152,2,35.5805,129.3552,84.72109943
78,36,몄_밸___,36110, 몄_밸___,202302,"385,285","49,665","40,644",1.222,2,36.4801,127.2889,90.3799515
79,11,__밸_,11320, __援,202302,"310,853","37,928","67,701",0.56,3,37.6688,127.0471,36.86337914
80,11,__밸_,11305, 媛__援,202302,"293,119","37,359","66,602",0.561,3,37.6396,127.0257,36.94421989
81,11,__밸_,11350, 몄_援,202302,"502,820","63,798","92,747",0.688,3,37.655,127.0778,47.21099434
82,11,__밸_,11260, 以__援,202302,"385,129","54,850","75,529",0.726,3,37.6065,127.0927,50.2829426
